blocksize_bits,blocksize_kB,smallprime_faster,mediumstep_faster,vectorstep_faster,passes,elapsed_time,sample_duration,average
1048576,128,16,0,160,6,0.000471,0.000400,12738.853503
1048576,128,484,0,160,6,0.000455,0.000400,13186.813187
524288,64,16,0,160,6,0.000466,0.000400,12875.536481
524288,64,484,0,160,6,0.000450,0.000400,13333.333333
262144,32,16,0,160,5,0.000403,0.000400,12406.947891
262144,32,484,0,160,5,0.000402,0.000400,12437.810945
131072,16,16,0,160,3,0.000412,0.000400,7281.553398
131072,16,484,0,160,5,0.000403,0.000400,12406.947891
1048576,128,16,0,192,5,0.000424,0.000400,11792.452830
1048576,128,484,0,192,6,0.000454,0.000400,13215.859031
524288,64,16,0,192,6,0.000467,0.000400,12847.965739
524288,64,484,0,192,6,0.000463,0.000400,12958.963283
262144,32,16,0,192,5,0.000433,0.000400,11547.344111
262144,32,484,0,192,6,0.000476,0.000400,12605.042017
131072,16,16,0,192,4,0.000522,0.000400,7662.835249
131072,16,484,0,192,5,0.000404,0.000400,12376.237624
1048576,128,16,0,224,6,0.000476,0.000400,12605.042017
1048576,128,484,0,224,6,0.000471,0.000400,12738.853503
524288,64,16,0,224,6,0.000485,0.000400,12371.134021
524288,64,484,0,224,6,0.000463,0.000400,12958.963283
262144,32,16,0,224,5,0.000478,0.000400,10460.251046
262144,32,484,0,224,5,0.000406,0.000400,12315.270936
131072,16,16,0,224,3,0.000435,0.000400,6896.551724
131072,16,484,0,224,5,0.000417,0.000400,11990.407674
1048576,128,16,0,256,5,0.000456,0.000400,10964.912281
1048576,128,484,0,256,5,0.000422,0.000400,11848.341232
524288,64,16,0,256,5,0.000412,0.000400,12135.922330
524288,64,484,0,256,5,0.000406,0.000400,12315.270936
262144,32,16,0,256,4,0.000424,0.000400,9433.962264
262144,32,484,0,256,5,0.000426,0.000400,11737.089202
131072,16,16,0,256,3,0.000478,0.000400,6276.150628
131072,16,484,0,256,5,0.000426,0.000400,11737.089202
1048576,128,16,16,0,3,0.000403,0.000400,7444.168734
1048576,128,484,16,0,3,0.000414,0.000400,7246.376812
524288,64,16,16,0,4,0.000529,0.000400,7561.436673
524288,64,484,16,0,4,0.000530,0.000400,7547.169811
262144,32,16,16,0,4,0.000490,0.000400,8163.265306
262144,32,484,16,0,3,0.000411,0.000400,7299.270073
131072,16,16,16,0,3,0.000423,0.000400,7092.198582
131072,16,484,16,0,4,0.000533,0.000400,7504.690432
1048576,128,16,16,32,4,0.000430,0.000400,9302.325581
1048576,128,484,16,32,4,0.000467,0.000400,8565.310493
524288,64,16,16,32,4,0.000434,0.000400,9216.589862
524288,64,484,16,32,4,0.000427,0.000400,9367.681499
262144,32,16,16,32,5,0.000485,0.000400,10309.278351
262144,32,484,16,32,4,0.000441,0.000400,9070.294785
131072,16,16,16,32,4,0.000443,0.000400,9029.345372
131072,16,484,16,32,4,0.000423,0.000400,9456.264775
1048576,128,16,16,64,5,0.000457,0.000400,10940.919037
1048576,128,484,16,64,5,0.000455,0.000400,10989.010989
524288,64,16,16,64,5,0.000467,0.000400,10706.638116
524288,64,484,16,64,5,0.000465,0.000400,10752.688172
262144,32,16,16,64,5,0.000402,0.000400,12437.810945
262144,32,484,16,64,5,0.000453,0.000400,11037.527594
131072,16,16,16,64,4,0.000404,0.000400,9900.990099
131072,16,484,16,64,5,0.000454,0.000400,11013.215859
1048576,128,16,16,96,5,0.000412,0.000400,12135.922330
1048576,128,484,16,96,5,0.000408,0.000400,12254.901961
524288,64,16,16,96,5,0.000408,0.000400,12254.901961
524288,64,484,16,96,5,0.000420,0.000400,11904.761905
262144,32,16,16,96,6,0.000455,0.000400,13186.813187
262144,32,484,16,96,5,0.000409,0.000400,12224.938875
131072,16,16,16,96,5,0.000484,0.000400,10330.578512
131072,16,484,16,96,5,0.000415,0.000400,12048.192771
1048576,128,16,16,128,5,0.000407,0.000400,12285.012285
1048576,128,484,16,128,6,0.000467,0.000400,12847.965739
524288,64,16,16,128,6,0.000467,0.000400,12847.965739
524288,64,484,16,128,5,0.000416,0.000400,12019.230769
262144,32,16,16,128,6,0.000469,0.000400,12793.176972
262144,32,484,16,128,5,0.000401,0.000400,12468.827930
